episode,reward,length,crash_rate,difficulty,reward_smoothed,reward_std,length_smoothed
110,43.5413,353.0,1.0,0.0,36.46726,41.702726948598134,313.5
111,49.8725,379.0,1.0,0.0,38.82166,41.73132440061462,325.3
112,59.7912,489.0,1.0,0.0,43.77315,40.89721862879757,358.8
113,80.34,595.0,1.0,0.0,50.283300000000004,41.03160050798246,401.7
114,83.9195,544.0,1.0,0.0,57.772130000000004,39.470330081328186,442.9
115,14.8712,157.0,1.0,0.0,46.36916000000001,32.492859447207785,368.0
116,136.9107,933.0,1.0,0.0,59.147090000000006,40.387619088044794,445.2
117,17.7964,190.0,1.0,0.0,51.53801,40.282973128452994,397.8
118,31.3421,277.0,1.0,0.0,53.623619999999995,38.41812489145079,410.3
119,5.8073,117.0,1.0,0.0,52.419219999999996,39.82713573562628,403.4
120,10.8492,142.0,1.0,0.0,49.150009999999995,41.92344667124299,382.3
121,74.9918,543.0,1.0,0.0,51.661939999999994,42.71658098902059,398.7
122,32.1705,299.0,1.0,0.0,48.89986999999999,43.02440868055274,379.7
123,80.769,591.0,1.0,0.0,48.942769999999996,43.059440762793876,379.3
124,28.1932,263.0,1.0,0.0,43.370140000000006,41.6115233929844,351.2
125,15.7261,198.0,1.0,0.0,43.45563,41.54729593121152,355.3
126,6.6657,127.0,1.0,0.0,30.431130000000003,26.789038037892766,274.7
127,15.3117,166.0,1.0,0.0,30.18266,26.930396743589018,272.3
128,111.6913,766.0,1.0,0.0,38.21758,37.303456971730874,321.2
129,54.7969,414.0,1.0,0.0,43.11654,35.75904023933278,350.9
130,39.2173,338.0,1.0,0.0,45.95335,33.99661512838038,370.5
131,31.7331,274.0,1.0,0.0,41.62748,32.61523328612634,343.6
132,18.2172,209.0,1.0,0.0,40.232150000000004,33.35485682050083,334.6
133,24.7709,215.0,1.0,0.0,34.632340000000006,30.359244583128564,297.0
134,22.4346,241.0,1.0,0.0,34.05648,30.54897665988537,294.8
135,30.0771,248.0,1.0,0.0,35.49158,29.922858762780876,299.8
136,22.9388,237.0,1.0,0.0,37.11889,28.594010325452953,310.8
137,114.279,792.0,1.0,0.0,47.01562,36.296974515815734,373.4
138,115.4788,778.0,1.0,0.0,47.39437,37.05860545982238,374.6
139,8.7123,140.0,1.0,0.0,42.78591,38.85755782485706,347.2
140,3.6795,109.0,1.0,0.0,39.23213,40.796883056158684,324.3
141,18.0269,183.0,1.0,0.0,37.861509999999996,41.30390261417193,315.2
142,28.9171,257.0,1.0,0.0,38.9315,40.8748307632514,320.0
143,21.0881,188.0,1.0,0.0,38.56322,41.032878604217416,317.3
144,31.531,272.0,1.0,0.0,39.47286,40.73535104749517,320.4
145,15.3947,145.0,1.0,0.0,38.00462,41.371272400995025,310.1
146,27.6791,246.0,1.0,0.0,38.47865,41.206296723902916,311.0
147,5.6978,121.0,1.0,0.0,27.620530000000002,32.37202731876359,243.9
148,48.1379,373.0,1.0,0.0,20.88644,13.662359311399184,203.4
149,106.6667,690.0,1.0,0.0,30.68188,29.684409358329628,258.4
150,40.5893,276.0,1.0,0.0,34.372859999999996,28.212039475617082,275.1
151,29.6945,211.0,1.0,0.0,35.53962,27.697484637811005,277.9
152,19.8774,191.0,1.0,0.0,34.635650000000005,28.082480983949544,271.3
153,10.3602,128.0,1.0,0.0,33.56286000000001,28.851890409438006,265.3
154,18.5436,186.0,1.0,0.0,32.264120000000005,29.243169538269935,256.7
155,18.6454,184.0,1.0,0.0,32.58919,29.052255946156723,260.6
156,5.322,104.0,1.0,0.0,30.35348,30.305314632358147,246.4
157,36.3531,250.0,1.0,0.0,33.41901,29.058995541195518,259.3
158,18.0346,156.0,1.0,0.0,30.408679999999997,28.9237320434583,237.6
159,67.8091,467.0,1.0,0.0,26.52292,18.14066938608136,215.3
160,91.6962,649.0,1.0,0.0,31.633609999999997,27.386648873876457,252.6
